transaction_id,customer_id,date,region,segment,product,contract_term_months,mrr_usd,csat_score,support_tickets_90d,is_churned
TXN-50071,CUST-10040,2024-06-27,North America,Mid-Market,Cloud Analytics Suite,12,1925.13,7,1,1
TXN-50072,CUST-10167,2024-01-19,North America,Mid-Market,Cloud Analytics Suite,12,1743.08,5,1,1
TXN-50073,CUST-10692,2025-04-15,Europe,Enterprise,Cloud Analytics Suite,24,5225.93,6,6,0
TXN-50074,CUST-11171,2024-11-08,North America,Small Business,Cloud Analytics Suite,12,397.25,8,1,0
TXN-50075,CUST-10041,2024-01-10,Europe,Enterprise,Cybersecurity Core,24,5388.41,7,3,0
TXN-50076,CUST-10011,2025-10-16,Europe,Small Business,Customer 360,24,696.58,7,4,0
TXN-50077,CUST-10710,2024-08-03,Latin America,Mid-Market,Cybersecurity Core,36,2134.89,1,8,0
TXN-50078,CUST-10619,2025-07-03,North America,Enterprise,Cloud Analytics Suite,24,2627.98,7,5,0
TXN-50079,CUST-11193,2025-12-15,Latin America,Enterprise,Cloud Analytics Suite,24,3344.27,9,5,0
TXN-50080,CUST-10376,2024-08-04,Asia Pacific,Mid-Market,ERP Connect,24,1129.91,8,4,1
TXN-50081,CUST-11163,2024-08-20,Latin America,Small Business,Cloud Analytics Suite,12,564.03,6,4,0
TXN-50082,CUST-10884,2024-09-03,Asia Pacific,Enterprise,ERP Connect,12,3939.17,8,1,0
TXN-50083,CUST-11043,2024-02-11,Latin America,Enterprise,Cybersecurity Core,24,4000.07,6,5,0
TXN-50084,CUST-10951,2025-10-18,North America,Enterprise,Cloud Analytics Suite,12,4956.06,7,2,0
TXN-50085,CUST-10453,2024-01-06,Latin America,Enterprise,Customer 360,12,4319.36,8,4,0
TXN-50086,CUST-10215,2024-10-25,Asia Pacific,Mid-Market,Cloud Analytics Suite,12,1632.78,4,3,0
TXN-50087,CUST-11054,2024-12-07,Asia Pacific,Enterprise,ERP Connect,12,3644.7,9,0,0
TXN-50088,CUST-11069,2024-12-15,North America,Mid-Market,Customer 360,12,2032.37,8,2,0
TXN-50089,CUST-10036,2025-11-18,North America,Small Business,Customer 360,24,859.59,9,3,1
TXN-50090,CUST-10305,2024-03-11,Latin America,Mid-Market,Customer 360,24,1932.16,1,0,1
TXN-50091,CUST-10569,2025-04-22,North America,Enterprise,Cybersecurity Core,36,4026.78,6,3,1
TXN-50092,CUST-10848,2025-01-25,Latin America,Enterprise,Cloud Analytics Suite,36,6161.97,5,4,1
TXN-50093,CUST-10791,2024-02-20,North America,Small Business,Customer 360,24,471.59,3,1,1
TXN-50094,CUST-10198,2024-05-02,Europe,Enterprise,Cloud Analytics Suite,36,5974.3,4,2,0
TXN-50095,CUST-10583,2025-06-22,North America,Mid-Market,Customer 360,12,2340.37,7,9,1
TXN-50096,CUST-10091,2025-07-26,Asia Pacific,Mid-Market,Customer 360,36,1822.5,8,2,0
TXN-50097,CUST-10121,2024-02-12,Asia Pacific,Enterprise,ERP Connect,24,3797.57,9,3,0
TXN-50098,CUST-11107,2025-11-18,North America,Small Business,ERP Connect,24,858.71,8,1,1
TXN-50099,CUST-11013,2024-12-18,Europe,Mid-Market,Cloud Analytics Suite,36,2222.01,4,3,0
TXN-50100,CUST-10913,2025-01-21,Europe,Mid-Market,Customer 360,36,1393.98,7,1,1
TXN-50101,CUST-10158,2025-09-04,Europe,Small Business,Cloud Analytics Suite,12,667.71,5,1,0
TXN-50102,CUST-11140,2025-07-10,North America,Mid-Market,ERP Connect,36,1212.14,7,5,0
TXN-50103,CUST-10939,2025-07-06,North America,Mid-Market,Cloud Analytics Suite,36,1593.8,6,3,1
TXN-50104,CUST-11168,2025-10-10,North America,Small Business,Cybersecurity Core,36,602.03,7,2,0
TXN-50105,CUST-10843,2024-05-12,Asia Pacific,Mid-Market,Customer 360,24,1766.24,9,2,0
TXN-50106,CUST-10164,2025-10-01,Asia Pacific,Small Business,Customer 360,24,563.6,3,1,0
TXN-50107,CUST-10118,2024-02-24,North America,Enterprise,ERP Connect,12,4841.75,6,0,1
TXN-50108,CUST-10125,2025-10-23,Latin America,Mid-Market,Cloud Analytics Suite,24,1853.29,5,2,1
TXN-50109,CUST-11031,2025-08-15,Latin America,Enterprise,Customer 360,12,2993.13,4,5,1
TXN-50110,CUST-10743,2025-06-09,Asia Pacific,Enterprise,Cloud Analytics Suite,24,3531.01,7,2,0
TXN-50111,CUST-11184,2024-09-23,Europe,Small Business,Cloud Analytics Suite,12,680.21,5,4,0
TXN-50112,CUST-10850,2025-06-26,Asia Pacific,Mid-Market,Cybersecurity Core,24,1339.91,7,2,0
TXN-50113,CUST-10866,2025-05-02,North America,Mid-Market,Cybersecurity Core,12,1208.25,5,3,1
TXN-50114,CUST-10303,2025-11-19,Europe,Mid-Market,ERP Connect,12,2384.78,7,4,0
TXN-50115,CUST-10323,2025-01-13,Latin America,Mid-Market,Cybersecurity Core,12,1917.05,7,5,0
TXN-50116,CUST-10643,2025-06-07,Asia Pacific,Mid-Market,ERP Connect,24,1837.94,7,2,0
TXN-50117,CUST-11195,2025-08-24,North America,Mid-Market,ERP Connect,12,1319.75,7,4,1
TXN-50118,CUST-10719,2024-01-03,Europe,Mid-Market,Customer 360,12,1693.82,7,2,0
TXN-50119,CUST-11131,2024-09-25,Asia Pacific,Enterprise,Cloud Analytics Suite,12,5622.97,5,1,0
TXN-50120,CUST-10769,2025-07-13,North America,Mid-Market,Cybersecurity Core,12,2403.97,7,2,0
TXN-50121,CUST-11005,2025-12-05,North America,Mid-Market,Customer 360,12,1600.71,5,2,0
TXN-50122,CUST-10427,2025-01-03,North America,Mid-Market,Cybersecurity Core,24,1405.7,6,1,0
TXN-50123,CUST-10353,2025-09-23,Europe,Mid-Market,Cybersecurity Core,24,2063.87,9,2,0
TXN-50124,CUST-10911,2024-05-16,North America,Mid-Market,Customer 360,24,1406.77,10,5,0
TXN-50125,CUST-10459,2024-11-03,Asia Pacific,Small Business,Cybersecurity Core,12,562.03,4,2,1
TXN-50126,CUST-10310,2025-06-03,North America,Small Business,ERP Connect,36,553.82,9,2,0
TXN-50127,CUST-11030,2024-01-14,North America,Enterprise,Cloud Analytics Suite,12,4917.58,3,5,1
TXN-50128,CUST-10335,2025-12-13,Asia Pacific,Enterprise,ERP Connect,36,4959.25,3,3,0
TXN-50129,CUST-10542,2024-03-19,Europe,Mid-Market,Customer 360,36,2159.21,1,0,0
TXN-50130,CUST-10777,2025-01-04,North America,Mid-Market,Cybersecurity Core,12,1597.09,3,1,0
TXN-50131,CUST-10784,2024-03-07,North America,Enterprise,Cloud Analytics Suite,24,4130.16,6,2,0
TXN-50132,CUST-10154,2025-02-13,Europe,Small Business,Cloud Analytics Suite,12,572.08,8,3,1
TXN-50133,CUST-10337,2025-02-20,North America,Enterprise,Cloud Analytics Suite,12,3558.17,6,2,0
TXN-50134,CUST-10623,2024-01-02,Asia Pacific,Mid-Market,Cloud Analytics Suite,24,1689.45,9,1,0
TXN-50135,CUST-10571,2024-05-12,North America,Mid-Market,Cybersecurity Core,12,2169.42,9,6,0
TXN-50136,CUST-10448,2024-08-26,Europe,Enterprise,Customer 360,12,4171.21,2,0,0
TXN-50137,CUST-10365,2025-08-10,Latin America,Small Business,ERP Connect,24,622.16,4,1,0
TXN-50138,CUST-10991,2025-02-10,Europe,Small Business,Customer 360,24,429.38,4,3,0
TXN-50139,CUST-10148,2024-09-25,North America,Mid-Market,Cybersecurity Core,24,2340.48,7,4,0
TXN-50140,CUST-10487,2025-07-07,Europe,Mid-Market,Cloud Analytics Suite,12,1913.41,7,1,0
TXN-50141,CUST-10496,2025-12-13,North America,Mid-Market,Cloud Analytics Suite,24,1740.1,6,5,0
TXN-50142,CUST-10769,2025-07-12,North America,Small Business,ERP Connect,36,456.47,5,4,1
TXN-50143,CUST-11151,2024-09-10,Europe,Enterprise,Cybersecurity Core,12,4464.23,4,3,0
TXN-50144,CUST-10301,2024-09-20,Europe,Enterprise,Cloud Analytics Suite,12,5975.05,8,2,0
TXN-50145,CUST-10586,2025-07-21,Asia Pacific,Small Business,Cybersecurity Core,36,915.01,10,5,0
TXN-50146,CUST-10201,2025-08-02,Europe,Mid-Market,Cloud Analytics Suite,12,2152.97,6,2,0
TXN-50147,CUST-10593,2025-05-04,Europe,Enterprise,ERP Connect,12,4269.71,2,1,0
TXN-50148,CUST-10018,2025-11-15,Europe,Enterprise,ERP Connect,24,3925.49,2,4,0
TXN-50149,CUST-10077,2025-06-13,Asia Pacific,Small Business,Cybersecurity Core,24,442.64,4,2,1
TXN-50150,CUST-10709,2024-02-03,Europe,Mid-Market,Cloud Analytics Suite,12,1651.89,5,5,1
TXN-50151,CUST-10640,2025-06-07,Asia Pacific,Enterprise,Cloud Analytics Suite,12,4975.87,7,4,1
TXN-50152,CUST-10162,2025-02-26,North America,Small Business,Cybersecurity Core,12,563.54,8,1,1
TXN-50153,CUST-10874,2024-10-26,North America,Mid-Market,Cloud Analytics Suite,24,2364.52,2,3,0
TXN-50154,CUST-10491,2025-10-25,Asia Pacific,Mid-Market,Cloud Analytics Suite,36,2085.94,4,5,1
TXN-50155,CUST-10326,2024-02-06,Europe,Mid-Market,Customer 360,12,1348.46,8,1,0
TXN-50156,CUST-10197,2025-11-10,Asia Pacific,Mid-Market,Cloud Analytics Suite,36,1957.16,6,3,0
TXN-50157,CUST-10610,2024-06-20,North America,Small Business,Customer 360,12,708.47,8,3,1
TXN-50158,CUST-10603,2024-11-18,North America,Small Business,Customer 360,36,592.67,9,2,0
TXN-50159,CUST-10708,2025-08-18,Latin America,Enterprise,Cybersecurity Core,12,3837.73,5,3,1
TXN-50160,CUST-10553,2025-03-09,Europe,Mid-Market,Cybersecurity Core,12,1679.48,4,3,0
TXN-50161,CUST-10813,2024-05-25,North America,Small Business,Cloud Analytics Suite,36,551.56,7,3,1
TXN-50162,CUST-10130,2024-11-02,Europe,Small Business,Cybersecurity Core,12,635.21,5,2,0
TXN-50163,CUST-10942,2025-01-21,Europe,Mid-Market,Customer 360,12,1773.01,8,2,0
TXN-50164,CUST-10545,2025-02-03,North America,Mid-Market,Cybersecurity Core,24,2499.8,7,3,0
TXN-50165,CUST-10935,2024-09-21,North America,Mid-Market,Cybersecurity Core,36,1215.75,4,5,1
TXN-50166,CUST-10948,2025-08-14,Europe,Small Business,Customer 360,12,633.86,8,0,1
TXN-50167,CUST-10549,2025-10-06,North America,Mid-Market,Cybersecurity Core,12,2068.76,10,1,1
TXN-50168,CUST-10661,2024-04-08,Asia Pacific,Mid-Market,ERP Connect,24,2103.63,10,5,1
TXN-50169,CUST-10464,2024-04-27,North America,Enterprise,Customer 360,12,4945.69,8,1,0
TXN-50170,CUST-10067,2025-02-21,Asia Pacific,Small Business,Cloud Analytics Suite,24,587.47,8,0,0
TXN-50171,CUST-10660,2025-08-01,North America,Small Business,ERP Connect,12,579.74,7,1,0
TXN-50172,CUST-11031,2025-04-25,Europe,Mid-Market,Customer 360,36,1396.65,5,1,0
TXN-50173,CUST-10178,2025-07-06,North America,Mid-Market,Customer 360,12,1760.42,8,3,0
TXN-50174,CUST-10213,2024-06-17,North America,Mid-Market,Customer 360,24,1729.69,6,4,0
TXN-50175,CUST-10880,2024-09-24,North America,Enterprise,Customer 360,12,4774.2,6,2,1
TXN-50176,CUST-10816,2024-01-08,Europe,Enterprise,ERP Connect,36,4107.75,7,0,0
TXN-50177,CUST-10018,2024-07-17,Europe,Small Business,Cloud Analytics Suite,12,608.32,7,5,0
TXN-50178,CUST-10849,2024-02-09,North America,Mid-Market,Cloud Analytics Suite,12,1480.27,6,2,1
TXN-50179,CUST-10201,2025-11-21,North America,Mid-Market,Cybersecurity Core,24,1689.52,3,1,1
TXN-50180,CUST-10386,2025-12-21,Europe,Enterprise,Cloud Analytics Suite,24,2292.83,2,4,0
TXN-50181,CUST-11130,2024-07-08,Europe,Mid-Market,ERP Connect,24,2360.87,8,3,0
TXN-50182,CUST-11098,2024-04-19,Europe,Mid-Market,Cloud Analytics Suite,12,2007.66,6,2,0
TXN-50183,CUST-10913,2025-12-06,Europe,Mid-Market,ERP Connect,24,938.98,7,2,0
TXN-50184,CUST-10832,2025-11-10,North America,Enterprise,Cybersecurity Core,12,4504.94,9,1,1
TXN-50185,CUST-10261,2024-01-13,Asia Pacific,Mid-Market,Cybersecurity Core,12,1628.75,8,3,0
TXN-50186,CUST-10058,2024-12-21,Latin America,Mid-Market,Cloud Analytics Suite,36,2747.85,3,4,1
TXN-50187,CUST-10299,2024-08-26,Asia Pacific,Mid-Market,Cloud Analytics Suite,24,1149.98,3,5,0
TXN-50188,CUST-10786,2024-12-05,North America,Mid-Market,Customer 360,36,1988.55,3,4,0
TXN-50189,CUST-10976,2024-08-23,Europe,Mid-Market,Cybersecurity Core,36,1897.71,3,5,1
TXN-50190,CUST-10398,2024-01-17,Europe,Small Business,ERP Connect,24,743.27,8,3,0
TXN-50191,CUST-10736,2025-10-21,Asia Pacific,Enterprise,Cybersecurity Core,12,4196.79,1,5,0
TXN-50192,CUST-10193,2024-05-01,North America,Small Business,Cybersecurity Core,36,714.38,5,0,0
TXN-50193,CUST-10910,2025-04-06,North America,Small Business,Cloud Analytics Suite,24,661.57,8,3,0
TXN-50194,CUST-11098,2025-12-02,North America,Enterprise,Customer 360,24,3855.67,8,2,0
TXN-50195,CUST-10294,2024-05-19,Europe,Mid-Market,Customer 360,12,1921.02,9,2,0
TXN-50196,CUST-11076,2025-02-14,Europe,Small Business,ERP Connect,36,237.66,7,1,0
TXN-50197,CUST-11011,2025-11-09,North America,Mid-Market,Cybersecurity Core,24,1866.19,3,3,1
TXN-50198,CUST-10990,2024-12-11,North America,Small Business,Cybersecurity Core,12,560.65,8,0,1
TXN-50199,CUST-10632,2024-01-27,North America,Mid-Market,ERP Connect,36,1855.87,7,6,1
TXN-50200,CUST-10631,2025-05-10,Europe,Enterprise,Cloud Analytics Suite,24,4672.36,8,3,0
TXN-50201,CUST-10912,2024-02-05,North America,Small Business,Customer 360,36,608.2,6,3,0
TXN-50202,CUST-10396,2025-03-06,Europe,Small Business,Cloud Analytics Suite,24,724.69,4,3,0
TXN-50203,CUST-10939,2024-06-22,North America,Small Business,Cybersecurity Core,24,590.91,2,0,0
TXN-50204,CUST-10564,2025-12-26,North America,Small Business,Cybersecurity Core,12,621.18,1,4,0
TXN-50205,CUST-10229,2025-09-02,Asia Pacific,Mid-Market,Customer 360,24,1829.64,6,2,0
TXN-50206,CUST-11157,2025-07-04,Europe,Mid-Market,Cloud Analytics Suite,24,1021.84,5,0,1
TXN-50207,CUST-10622,2025-02-13,Europe,Mid-Market,Customer 360,24,1892.01,8,3,1
TXN-50208,CUST-11102,2025-07-10,North America,Mid-Market,Customer 360,36,1807.52,9,1,1
TXN-50209,CUST-10025,2025-06-24,Asia Pacific,Mid-Market,ERP Connect,12,1883.05,8,3,0
TXN-50210,CUST-10558,2025-06-18,North America,Mid-Market,Cybersecurity Core,12,1407.93,9,3,1
TXN-50211,CUST-10713,2025-11-13,North America,Mid-Market,ERP Connect,12,1743.9,6,1,0
TXN-50212,CUST-10049,2025-06-18,Asia Pacific,Enterprise,Cybersecurity Core,12,4473.51,6,4,1
TXN-50213,CUST-10153,2024-01-11,North America,Small Business,Cloud Analytics Suite,36,873.4,9,5,0
TXN-50214,CUST-11062,2025-08-02,Asia Pacific,Small Business,Cybersecurity Core,24,562.43,1,3,1
TXN-50215,CUST-10455,2024-02-19,Asia Pacific,Mid-Market,ERP Connect,12,1799.74,6,2,0
TXN-50216,CUST-10128,2025-04-20,North America,Small Business,Cloud Analytics Suite,24,589.85,4,5,0
TXN-50217,CUST-10314,2024-03-12,North America,Enterprise,Cybersecurity Core,36,3894.95,3,3,0
TXN-50218,CUST-10281,2024-12-14,Asia Pacific,Enterprise,ERP Connect,36,5769.95,6,3,1
TXN-50219,CUST-10474,2024-08-24,North America,Small Business,Cloud Analytics Suite,12,551.35,2,1,0
TXN-50220,CUST-11027,2024-10-08,North America,Small Business,ERP Connect,12,644.22,5,3,1
TXN-50221,CUST-10390,2025-05-25,North America,Enterprise,Customer 360,12,4338.44,1,6,1
TXN-50222,CUST-11135,2025-11-02,Asia Pacific,Enterprise,Cybersecurity Core,12,5134.83,6,2,0
TXN-50223,CUST-10766,2024-03-04,Europe,Mid-Market,Customer 360,12,1529.59,4,4,0
TXN-50224,CUST-11104,2025-04-21,Latin America,Small Business,Customer 360,12,549.87,1,1,1
TXN-50225,CUST-10560,2024-08-14,Asia Pacific,Mid-Market,ERP Connect,24,2139.21,5,4,0
TXN-50226,CUST-10825,2025-08-13,Europe,Small Business,ERP Connect,12,706.85,6,2,0
TXN-50227,CUST-10658,2024-03-18,North America,Enterprise,Cybersecurity Core,24,5017.68,7,4,1
TXN-50228,CUST-11014,2024-03-22,Latin America,Enterprise,Customer 360,12,3395.81,6,5,1
TXN-50229,CUST-10196,2025-04-24,North America,Enterprise,ERP Connect,36,4108.82,7,3,0
TXN-50230,CUST-10337,2025-04-09,Latin America,Small Business,Customer 360,12,440.6,10,1,0
TXN-50231,CUST-11018,2025-04-27,Europe,Mid-Market,ERP Connect,12,1827.89,5,3,1
TXN-50232,CUST-10552,2024-12-02,North America,Mid-Market,Customer 360,12,2536.49,7,4,0
TXN-50233,CUST-10412,2024-04-07,North America,Enterprise,Cloud Analytics Suite,12,5193.94,9,5,0
TXN-50234,CUST-10816,2024-04-27,Europe,Small Business,Cybersecurity Core,12,553.75,7,2,0
TXN-50235,CUST-11150,2024-11-25,Asia Pacific,Small Business,Customer 360,12,650.45,7,0,0
TXN-50236,CUST-11064,2024-03-04,North America,Small Business,Customer 360,24,483.23,4,3,0
TXN-50237,CUST-10318,2024-01-01,Europe,Enterprise,Cybersecurity Core,24,2810.3,4,4,0
TXN-50238,CUST-10548,2025-02-22,Europe,Small Business,Cloud Analytics Suite,12,639.62,8,2,0
TXN-50239,CUST-10511,2024-07-03,Europe,Enterprise,Customer 360,24,5304.93,6,1,1
TXN-50240,CUST-10973,2025-11-24,North America,Mid-Market,Cybersecurity Core,12,1995.37,8,3,1
TXN-50241,CUST-10745,2025-01-17,Europe,Mid-Market,ERP Connect,12,1426.01,8,5,1
TXN-50242,CUST-10828,2024-05-23,North America,Mid-Market,ERP Connect,12,2321.13,8,3,1
TXN-50243,CUST-10652,2025-12-18,Asia Pacific,Mid-Market,Customer 360,12,1838.22,3,0,0
TXN-50244,CUST-10661,2025-11-14,Europe,Mid-Market,Cybersecurity Core,12,1698.83,5,1,0
TXN-50245,CUST-10246,2024-10-01,North America,Mid-Market,Cybersecurity Core,12,1952.99,9,4,0
TXN-50246,CUST-10945,2025-01-07,North America,Mid-Market,Cloud Analytics Suite,24,1435.0,7,1,1
TXN-50247,CUST-10304,2024-11-26,Europe,Small Business,ERP Connect,12,610.28,1,2,0
TXN-50248,CUST-11167,2024-03-19,North America,Small Business,Customer 360,24,727.69,4,1,0
TXN-50249,CUST-10961,2025-09-08,Europe,Mid-Market,ERP Connect,12,1764.22,5,3,0
TXN-50250,CUST-10291,2025-08-27,Asia Pacific,Mid-Market,Cloud Analytics Suite,12,2232.03,6,3,1
TXN-50251,CUST-10950,2025-09-04,North America,Mid-Market,Customer 360,12,1622.92,5,6,1
TXN-50252,CUST-11159,2024-10-17,Europe,Mid-Market,Customer 360,24,1830.18,3,4,0
TXN-50253,CUST-10726,2025-08-08,Europe,Mid-Market,Cybersecurity Core,36,2307.77,7,2,0
TXN-50254,CUST-11082,2025-01-06,North America,Mid-Market,Cybersecurity Core,12,1805.62,4,2,0
TXN-50255,CUST-10504,2024-04-23,North America,Small Business,Cybersecurity Core,12,708.27,6,5,0
TXN-50256,CUST-10886,2024-08-14,North America,Enterprise,Cloud Analytics Suite,24,4130.43,6,5,0
TXN-50257,CUST-10454,2024-01-03,Latin America,Small Business,Cybersecurity Core,24,539.11,8,7,0
TXN-50258,CUST-11011,2025-01-04,Asia Pacific,Small Business,Cybersecurity Core,24,729.81,4,0,0
TXN-50259,CUST-10206,2024-07-24,Europe,Enterprise,ERP Connect,24,3319.0,8,6,1
TXN-50260,CUST-10650,2024-05-12,Latin America,Mid-Market,Cloud Analytics Suite,24,893.83,6,7,1
